phrase,label
pan the canvas to the left,PAN
pan the canvas right,PAN
move the canvas up,PAN
move the canvas down a bit,PAN
shift the canvas over to the left,PAN
scroll the canvas down,PAN
drag the canvas to the right,PAN
pan up a little,PAN
pan down,PAN
move the view to the left,PAN
shift the view right,PAN
slide the canvas over,PAN
pan across to the right side,PAN
move the whole canvas up,PAN
scroll over to the left,PAN
push the canvas down,PAN
pan the board up slightly,PAN
move the artboard view down,PAN
shift the workspace to the left,PAN
pan the canvas up,PAN
zoom in,ZOOM_IN
zoom in a little,ZOOM_IN
zoom in closer,ZOOM_IN
zoom in on this,ZOOM_IN
i want a closer look at this,ZOOM_IN
give me a closer look,ZOOM_IN
give me a tighter view of this,ZOOM_IN
narrow the view,ZOOM_IN
make the view narrower,ZOOM_IN
zoom in two hundred percent,ZOOM_IN
magnify this,ZOOM_IN
zoom in on the selection,ZOOM_IN
tighten the view,ZOOM_IN
increase the zoom,ZOOM_IN
zoom in more,ZOOM_IN
bring me closer to this,ZOOM_IN
make everything look bigger on screen,ZOOM_IN
get closer to the canvas,ZOOM_IN
zoom out,ZOOM_OUT
zoom out a bit,ZOOM_OUT
zoom out more,ZOOM_OUT
give me a wider view,ZOOM_OUT
give me a broader look of this,ZOOM_OUT
i want a wider view of this,ZOOM_OUT
widen the view,ZOOM_OUT
make the view broader,ZOOM_OUT
pull back from the canvas,ZOOM_OUT
back out a little,ZOOM_OUT
decrease the zoom,ZOOM_OUT
zoom out to fifty percent,ZOOM_OUT
show me more of the canvas,ZOOM_OUT
make everything look smaller on screen,ZOOM_OUT
give me more room to see,ZOOM_OUT
broaden the view,ZOOM_OUT
reduce the zoom level,ZOOM_OUT
step back from the canvas,ZOOM_OUT
fit everything on screen,ZOOM_FIT
zoom to fit,ZOOM_FIT
fit the whole design in the view,ZOOM_FIT
fit all of it on screen,ZOOM_FIT
fit the canvas to the window,ZOOM_FIT
show the entire artboard,ZOOM_FIT
zoom to fit all,ZOOM_FIT
fit everything in the window,ZOOM_FIT
fit the frame to the screen,ZOOM_FIT
show me the whole design,ZOOM_FIT
fit the selection to the screen,ZOOM_FIT
zoom so i can see everything,ZOOM_FIT
fit the page on screen,ZOOM_FIT
bring everything into view,ZOOM_FIT
fit the whole board,ZOOM_FIT
show all of it at once,ZOOM_FIT
fit the artboard in the window,ZOOM_FIT
scale the view to fit everything,ZOOM_FIT
reset the zoom,ZOOM_RESET
zoom to one hundred percent,ZOOM_RESET
actual size,ZOOM_RESET
go back to actual size,ZOOM_RESET
reset the view,ZOOM_RESET
set the zoom to one hundred,ZOOM_RESET
back to normal zoom,ZOOM_RESET
show it at real size,ZOOM_RESET
reset the zoom level,ZOOM_RESET
default zoom please,ZOOM_RESET
put the zoom back to normal,ZOOM_RESET
view at actual size,ZOOM_RESET
one hundred percent zoom,ZOOM_RESET
return to the normal view,ZOOM_RESET
normal size view,ZOOM_RESET
restore the original zoom,ZOOM_RESET
zoom back to default,ZOOM_RESET
set the view to actual size,ZOOM_RESET
